
Log of servo command results
ServoID - Command - StatusResult

altDec hardReset ok
altDec setAddress BAD
azRa setAddress BAD
altDec defineStatus BAD
altDec setGain BAD
altDec stopMotor BAD
azRa defineStatus BAD
azRa setGain BAD
azRa stopMotor BAD
altDec SiTechHandpadSlewPanSpeeds BAD
altDec SiTechHandpadGuideSpeed BAD
azRa SiTechHandpadSlewPanSpeeds BAD
azRa SiTechHandpadGuideSpeed BAD
